;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
601;2022-01-31;7.0;6.29;0.6729714890510098;11.15004564874353;0.12289772871224468;13.72569690760034;0.0;0.0;0.0;1.0;0.0;0.0
602;2022-02-28;7.0;5.73;;;-0.7570713242902173;;;1.0;0.0;0.0;0.0;0.0
603;2022-03-31;7.0;5.66;1.0395894281258218;9.698310057280118;0.24568410820096023;13.783399672356605;0.08137416293772637;1.0;0.0;0.0;0.0;0.0
604;2022-04-30;7.0;5.98;1.1360579536960047;9.055921388396158;0.9783315105444702;13.353535323777233;0.14480477908623435;1.0;0.0;1.0;0.0;0.0
605;2022-05-31;7.0;7.64;1.2777784376854304;8.980804309497413;2.3634190834687003;16.531915751100275;0.07620358607016534;1.0;0.0;1.0;0.0;0.0
606;2022-06-30;7.0;10.84;0.4824697185348261;9.762170001478196;1.8621513908606464;20.396463818826284;0.0;0.0;0.0;1.0;0.0;0.0
607;2022-07-31;7.0;12.96;0.4551289175815196;10.283934812084256;1.7930565464888597;24.48673918741958;0.4097120080904572;0.0;0.0;1.0;0.0;0.0
608;2022-08-31;7.0;13.49;0.5902651833173315;10.82492964578714;1.3107129195367726;26.653392742257143;0.3744763126760756;0.0;0.0;1.0;0.0;0.0
609;2022-09-30;7.0;12.59;0.6387456681422046;10.397791848300072;-0.5113885416752513;27.143852035810728;0.17892245394275424;0.0;0.0;1.0;0.0;0.0
610;2022-10-31;7.0;10.71;0.6298460960664534;10.715095268292684;0.42843337014608246;29.482263868450286;0.012950807143395391;1.0;0.0;1.0;0.0;0.0
611;2022-11-30;7.0;9.36;0.4385459949067982;10.402467690502588;-0.8705056945884841;27.960584073448903;0.0;1.0;0.0;1.0;0.0;0.0
612;2022-12-31;7.0;7.47;0.5189068914880872;11.28070031707317;-1.269781475201879;19.103309237975306;0.08085770714408641;1.0;0.0;1.0;0.0;0.0
613;2023-01-31;7.0;6.56;1.033937224328663;11.463588793052477;-0.880517845604141;15.827820462918732;0.0;1.0;0.0;1.0;0.0;0.0
614;2023-02-28;7.0;6.03;0.6724366232529927;11.884963129896526;0.5710240043910426;14.278583921905486;0.5375579192397952;0.0;0.0;1.0;0.0;0.0
615;2023-03-31;7.0;5.06;0.922342530624376;12.455981422949002;-0.27681814645128927;14.87072774196356;0.08482090588784034;0.0;0.0;1.0;0.0;0.0
616;2023-04-30;7.0;5.86;0.7022389938289328;12.153894234478935;-0.21806552400776405;13.869590060638403;0.1081101405752539;1.0;0.0;1.0;0.0;0.0
617;2023-05-31;7.0;7.84;0.8266744870442131;12.980689345713229;1.3633042182783552;18.120546434088677;0.06423297832070361;1.0;0.0;0.0;0.0;0.0
618;2023-06-30;7.0;10.77;0.6487890250786867;13.551344448817444;2.38663407098852;19.089400928397588;0.23508975710015528;1.0;0.0;1.0;0.0;0.0
619;2023-07-31;7.0;14.38;0.7151278178253333;13.921057768477457;0.047641560638515726;25.46208960169128;0.12433643615398095;1.0;0.0;1.0;0.0;0.0
620;2023-08-31;7.0;14.63;1.1809113225521422;14.711183626570584;-0.8076821975561752;26.693198449857903;0.0;0.0;0.0;1.0;0.0;0.0
621;2023-09-30;7.0;13.41;1.292126021704107;14.466348905210644;0.07789806096055586;27.21727582113559;0.11503102842704384;1.0;0.0;1.0;0.0;0.0
622;2023-10-31;7.0;11.12;0.9959374137372088;13.703924689578715;0.3074073688579219;23.65221941138872;0.12624477388318772;0.0;0.0;1.0;0.0;0.0
623;2023-11-30;7.0;8.42;0.6051219107230345;13.461725794161122;-1.3189620411798861;18.77308940045381;0.02085123077606765;0.0;0.0;0.0;0.0;0.0
624;2023-12-31;7.0;6.27;0.8354751833424598;13.83662586271249;-1.0221182671112887;13.264212629945437;0.0;1.0;0.0;0.0;0.0;0.0
625;2024-01-31;7.0;5.63;1.048931100023916;13.12643032039911;-0.6824752980416965;12.218602992846998;0.0;1.0;0.0;0.0;0.0;1.0
626;2024-02-29;7.0;5.44;;;-0.9595148173540493;;;1.0;0.0;1.0;0.0;0.0
627;2024-03-31;7.0;5.46;1.1905831864837142;10.001443126940131;-1.204537458143807;12.763376116806402;0.0;1.0;0.0;0.0;1.0;0.0
628;2024-04-30;7.0;5.78;0.8330376213782263;9.298681811899481;-0.23819984967661254;13.047743029079003;0.03528931369164667;1.0;1.0;1.0;1.0;1.0
629;2024-05-31;7.0;9.33;0.6562404296975913;9.992813884700665;1.105298788259504;17.05405309580167;0.0;1.0;1.0;0.0;1.0;1.0
630;2024-06-30;7.0;12.21;0.48757564731768155;10.640425731152993;-0.12410533755313768;20.36165951144267;0.0;1.0;1.0;1.0;1.0;1.0
631;2024-07-31;7.0;14.25;0.4258968506040113;12.095564581670361;-0.6845657471548556;25.284889573937612;0.0;0.0;1.0;1.0;1.0;1.0
632;2024-08-31;7.0;15.87;0.500960765002921;13.033388567257946;-0.11244283197446037;25.040478600409067;0.0;0.0;1.0;1.0;1.0;1.0
633;2024-09-30;7.0;;0.5499719401619694;13.421154952143386;;26.533599357189964;0.1577361697132656;0.0;1.0;1.0;1.0;1.0
634;2024-10-31;7.0;;0.5993564568779193;13.816819006097559;;26.55373807406345;0.3475131024812819;0.0;1.0;1.0;1.0;1.0
635;2024-11-30;7.0;;0.6526291781406501;14.067286650406505;;21.676246946772505;0.0;0.0;1.0;1.0;1.0;1.0
636;2024-12-31;7.0;;1.1019088377082522;14.378567825942351;;20.090129865301087;0.0;0.0;0.0;0.0;1.0;1.0
637;2025-01-31;7.0;;1.0806560397151785;14.61463473429416;;15.969133708406874;0.0;1.0;1.0;1.0;1.0;1.0
638;2025-02-28;7.0;;;14.123253636363637;;13.330357180325928;0.0;1.0;0.0;1.0;1.0;1.0
639;2025-03-31;7.0;;;;;;;1.0;1.0;1.0;1.0;1.0
640;2025-04-30;7.0;;;;;;;1.0;1.0;1.0;1.0;1.0
641;2025-05-31;7.0;;;;;;;;;;;
642;2017-10-31;8.0;11.91;0.5093029682755547;6.056178968945521;-0.6520308855025366;28.74969642990255;0.949163673566688;0.0;0.0;1.0;0.0;0.0
643;2017-11-30;8.0;9.52;0.5104451439621845;6.251194125743935;-0.45627653401324136;21.50048421015118;0.44086603094838794;1.0;0.0;1.0;0.0;0.0
644;2017-12-31;8.0;7.52;0.7093299018229802;6.210565732336335;-0.9617957208188628;17.079695066658072;1.0150421091668504;0.0;0.0;1.0;0.0;0.0
645;2018-01-31;8.0;6.07;0.9529684029992969;6.243503084617731;-1.0359317960465657;14.9662451325036;0.0;0.0;0.0;0.0;0.0;0.0
646;2018-02-28;8.0;5.31;0.8457004567141093;6.310757204181291;-1.0655117442536721;12.180482559129386;0.0;0.0;0.0;0.0;0.0;0.0
647;2018-03-31;8.0;4.62;0.9562665733717693;6.408644367846788;-1.0619472540920243;13.463767171065117;0.0;0.0;0.0;0.0;0.0;0.0
648;2018-04-30;8.0;5.3;0.9167071486872526;6.468585226384862;-0.8313460211716954;11.97068629963946;0.0;1.0;0.0;1.0;0.0;0.0
649;2018-05-31;8.0;8.33;0.8819209680916328;6.200584994430032;1.1134823720998572;15.471018994895719;0.0;0.0;0.0;1.0;0.0;0.0
650;2018-06-30;8.0;10.36;0.5020072407189305;6.162779425911796;1.117951285138341;18.19792190772878;0.0;1.0;0.0;1.0;0.0;0.0
651;2018-07-31;8.0;14.37;0.49720789621294953;5.99197074019533;1.1475578340182957;24.927393897546345;0.0;0.0;0.0;1.0;0.0;0.0
652;2018-08-31;8.0;14.81;0.9012851973138992;5.381711454600946;0.45516892045465;27.157145829234192;0.0;1.0;0.0;1.0;0.0;0.0
653;2018-09-30;8.0;13.11;0.6132433601522623;5.306938121547383;0.04291169265452805;27.377232670059758;0.0;1.0;0.0;1.0;0.0;0.0
654;2018-10-31;8.0;10.62;0.8809126035513188;5.81981820982756;0.519515948074246;24.040954702737068;0.0;0.0;0.0;1.0;0.0;0.0
655;2018-11-30;8.0;9.0;0.7154122215283761;6.17463860003052;-0.22689893204392583;22.37149672490715;0.03253524646163415;0.0;0.0;1.0;0.0;0.0
656;2018-12-31;8.0;7.37;0.829852187012528;6.404721630703495;-0.7223896651858069;17.41721341089254;0.029858879334100207;0.0;0.0;1.0;0.0;0.0
657;2019-01-31;8.0;6.02;1.1680764416479092;6.275791693499161;-0.6821428471666054;14.61029563445794;0.03373309602774817;0.0;0.0;0.0;0.0;0.0
658;2019-02-28;8.0;5.14;0.8625129694091651;6.04456008522814;-0.9076101502272478;12.474561274316956;0.18943859462712667;0.0;0.0;0.0;0.0;0.0
659;2019-03-31;8.0;4.75;0.8208958182283439;5.751004660537159;-0.8279411350471364;13.612381513545182;0.7163496234570136;0.0;0.0;0.0;0.0;0.0
660;2019-04-30;8.0;5.84;1.1939415312491988;5.476526430566153;-0.5486872714876009;13.671401479590184;0.45739064248547817;0.0;0.0;1.0;0.0;0.0
661;2019-05-31;8.0;7.93;0.7853918106797549;5.675943791622157;0.49275567118904007;17.390010657489544;0.7649791932990807;0.0;0.0;1.0;0.0;0.0
662;2019-06-30;8.0;11.37;0.39995763904602155;5.739898149320921;1.6732669315156383;21.20348904727218;0.466652951258731;0.0;0.0;1.0;0.0;0.0
663;2019-07-31;8.0;14.23;0.3035741191533806;5.994919390126659;1.2478689713285458;27.071969924645767;1.2086992540297457;0.0;0.0;1.0;0.0;0.0
664;2019-08-31;8.0;15.13;0.4169622196809155;6.60755534854265;-0.10105114879948285;29.851201879651455;0.42188115712894003;0.0;0.0;1.0;0.0;0.0
665;2019-09-30;8.0;13.11;0.5442547310083239;6.941799542881123;0.023493201475402386;26.568480936989513;1.014166370638378;1.0;0.0;1.0;0.0;0.0
666;2019-10-31;8.0;10.86;0.8114975702932521;6.923955751564169;-0.7592049964076012;25.239025962592184;0.5565428603620709;1.0;0.0;1.0;0.0;0.0
667;2019-11-30;8.0;8.42;1.0575926016180337;6.857127655424996;-0.8083896405037702;20.454011562612653;0.9634823713318589;0.0;0.0;1.0;0.0;0.0
668;2019-12-31;8.0;6.97;0.8353929585079285;6.85671101800702;-0.7909661997882534;16.611362647849827;0.5233919558809389;1.0;0.0;1.0;0.0;0.0
669;2020-01-31;8.0;6.48;0.8521869328218113;6.933272301159773;-0.20298492715346836;14.479118287735314;0.7427849058445549;0.0;0.0;0.0;0.0;0.0
670;2020-02-29;8.0;5.76;0.7367938222828256;6.907221605600489;-0.8399646391744854;12.937657691396687;0.0;1.0;0.0;1.0;0.0;0.0
671;2020-03-31;8.0;5.44;0.5252301962225441;6.653734787044102;-0.9078229556100327;13.36169475468512;0.0;0.0;0.0;1.0;0.0;0.0
672;2020-04-30;8.0;5.67;0.6588880793369916;6.470719267968869;-0.5484212647591197;13.21534861658979;0.41646884717836885;0.0;0.0;0.0;0.0;0.0
673;2020-05-31;8.0;7.07;0.690468012279159;6.349392465054174;0.1863957219972728;15.463047185699022;0.8673381819906046;0.0;0.0;1.0;0.0;0.0
674;2020-06-30;8.0;11.93;0.4212014087490732;6.013113547153976;3.223288138375434;20.042570331921645;1.256238274329542;0.0;0.0;1.0;0.0;0.0
675;2020-07-31;8.0;13.29;0.46835242710183067;6.241893470242637;2.0085418120933087;23.99671003517642;0.425190090736754;1.0;0.0;1.0;0.0;0.0
676;2020-08-31;8.0;14.97;0.5585396061872206;6.969333113764688;0.6699427530303492;27.22445837297669;1.011205209234468;1.0;0.0;1.0;0.0;0.0
677;2020-09-30;8.0;13.14;0.901220984119704;7.264876994582634;0.2946604604891104;27.36042058018599;0.24871528768863152;0.0;0.0;1.0;0.0;0.0
678;2020-10-31;8.0;11.22;0.7982732274016336;7.309945464214863;-0.5557630504652;24.715171704964817;0.6123175124709327;1.0;0.0;1.0;0.0;0.0
679;2020-11-30;8.0;9.26;0.5652257264131731;7.178472750495956;-0.21085872631651104;21.962632171114343;0.67123861048832;1.0;0.0;1.0;0.0;0.0
680;2020-12-31;8.0;7.98;0.6540383866807599;6.885175420494429;-0.8035749187182609;18.360755538832635;0.49249612014820215;1.0;0.0;1.0;0.0;0.0
681;2021-01-31;8.0;6.67;0.5183331553379524;6.802112441934992;-1.0000740890473034;16.30829160104397;0.01582591055704438;1.0;0.0;1.0;0.0;0.0
682;2021-02-28;8.0;5.37;0.48388003042275135;6.328773467419502;-0.9385733334224563;13.155586821855334;0.65843024977036;0.0;0.0;0.0;0.0;0.0
683;2021-03-31;8.0;5.17;0.7817270123671415;6.1497290398290865;-0.5813262970722408;13.571621706154438;0.0;0.0;0.0;1.0;0.0;0.0
684;2021-04-30;8.0;5.41;0.8934281389336561;6.22558632122692;-0.27584417008446166;13.052382902397946;0.3559258158238053;0.0;0.0;0.0;0.0;0.0
685;2021-05-31;8.0;7.33;0.7759826128623246;5.996452270410499;0.1795327484024586;16.049471551963386;0.4832023583577842;0.0;0.0;1.0;0.0;0.0
686;2021-06-30;8.0;11.75;0.45258405319694744;5.983342467572104;1.9726309037483503;20.621230677017586;0.44692932091909127;0.0;0.0;1.0;0.0;0.0
687;2021-07-31;8.0;13.78;0.4488894391552697;6.417114132534718;1.2584028377764005;26.03297702363725;0.514260133306718;0.0;0.0;1.0;0.0;0.0
688;2021-08-31;8.0;13.17;0.5145816753765711;6.882264522737677;0.15208085402320154;29.543503987387243;0.505003870307994;0.0;0.0;1.0;0.0;0.0
689;2021-09-30;8.0;11.34;0.5007724345369361;7.343244406836563;0.12909787268242823;29.76360449692655;0.32723380177784017;1.0;0.0;1.0;0.0;0.0
690;2021-10-31;8.0;10.49;0.742056764122978;7.503390583854722;-0.21173654852049886;26.5189996990948;0.24986023149900538;1.0;0.0;1.0;0.0;0.0
691;2021-11-30;8.0;9.06;0.5832701617570024;7.378064164733709;-0.18468366423396365;20.923656424143285;0.5144677646008405;0.0;0.0;1.0;0.0;0.0
692;2021-12-31;8.0;7.17;0.665242326308801;7.270170204715397;-0.9025028210404092;16.195579672674647;0.2723993769613271;0.0;0.0;1.0;0.0;0.0
693;2022-01-31;8.0;6.11;0.8239215436132846;7.039552208377843;-0.6317877734651194;14.01133967470437;0.5210921421955584;0.0;0.0;0.0;0.0;0.0
694;2022-02-28;8.0;5.31;;;-0.9360994708475814;;;0.0;0.0;0.0;0.0;0.0
695;2022-03-31;8.0;5.48;1.3751496131053869;;-0.6574308220907045;;;1.0;0.0;0.0;0.0;0.0
696;2022-04-30;8.0;5.47;0.9526327873125753;6.131148956126965;-0.4443062312315886;12.703119346939843;0.10074840339021472;1.0;0.0;0.0;0.0;0.0
697;2022-05-31;8.0;7.05;0.6741827204367231;6.054329250038151;0.9906138642144036;15.85693879095868;0.0;0.0;0.0;1.0;0.0;0.0
698;2022-06-30;8.0;10.26;0.678288142081921;5.926857117427133;2.4688132543842825;19.636096322942155;0.06854846747361452;1.0;0.0;1.0;0.0;0.0
699;2022-07-31;8.0;12.81;0.5182274969577221;6.159446280863726;2.188149555163797;26.244052667196893;0.07432535580475337;1.0;0.0;1.0;0.0;0.0
700;2022-08-31;8.0;12.88;0.6339656471530097;6.436277270028994;1.0216568494281564;30.65372953379981;0.1658221647457307;0.0;0.0;1.0;0.0;0.0
701;2022-09-30;8.0;12.04;0.6782006937311996;6.734733118953152;-0.042822275934953934;28.96942114261993;0.08741275993123768;1.0;0.0;1.0;0.0;0.0
