Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2024-12-31;77;1.0;1920981;6542187.064;1197615;40527;2.1097033234581706;1422.833202261853;18.306034179153517
2025-01-31;78;1.0;1393792;4846380.666;982820;9123;0.6545452980071632;1054.019283601566;20.27946353646996
2025-02-28;79;1.0;864210;2054460.424;401532;6078;0.7033012809386607;446.81609917355377;19.544401795690174
2017-10-31;80;2.0;21744595;42387317.23;9051043;273095;1.2559212990630544;17378.97385403854;21.353186734814265
2017-11-30;81;2.0;20778339;38916575.588;7161805;244023;1.1744105243446072;15955.955550635506;18.40296812294131
2017-12-31;82;2.0;20034069;36398262.026;6011833;170267;0.8498872595477235;14923.436665026651;16.51681334593841
2018-01-31;83;2.0;18591636;32775048.151;4354506;175406;0.9434672666784139;13437.904120951209;13.286039977540472
2018-02-28;84;2.0;17863887;32074114.519;2888754;235142;1.316298071074901;13150.51845797458;9.006496495137116
2018-03-31;85;2.0;17325363;30893682.917;2909598;204372;1.1796116479637397;12666.536661336613;9.418100159236511
2018-04-30;86;2.0;17628366;28051670.844;3690035;372324;2.1120732346945825;11501.30005904059;13.154421426520003
2018-05-31;87;2.0;16029088;24518465.681;4665232;209601;1.3076289805134267;10052.67145592456;19.0274222730634
2018-07-31;88;2.0;14140909;25714054.286999997;6693349;124378;0.8795615614243752;10542.867686346863;26.029924823577478
2018-08-31;89;2.0;19033293;33194014.892;9282954;190210;0.9993541317311724;13609.682202542026;27.965746325664448
2018-09-30;90;2.0;22249987;39675883.964;10353258;275458;1.2380142064802104;16267.27509799098;26.09458685128238
2018-10-31;91;2.0;25709927;43187145.232;11062807;163477;0.635851669279341;17706.906614186144;25.615971930005898
2018-11-30;92;2.0;25958013;45478221.685;10330521;223764;0.8620228366477819;18646.257353423534;22.715314313636185
2018-12-31;93;2.0;24284478;44362744.544;7514431;252887;1.0413524227286253;18188.907152111522;16.938607106571173
2019-01-31;94;2.0;22835484;42468599.686000004;6514380;170760;0.7477835810267914;17412.299994259945;15.339286079986996
2019-02-28;95;2.0;21448582;39915848.627000004;5163172;168776;0.7868865177194465;16365.661593685938;12.935142750560264
2019-03-31;96;2.0;20940281;37831881.100999996;5351383;235933;1.126694527165132;15511.226363673635;14.14516763180076
2019-04-30;97;2.0;21818220;32176784.551000003;5192773;223532;1.0245198737568877;13192.613592045922;16.13825953233297
2019-05-31;98;2.0;21558319;31313476.490999997;6725518;131792;0.6113278127111859;12838.653747847477;21.478030399891956
2019-06-30;99;2.0;19963692;30254165.485;8730649;98842;0.49510882055283156;12404.33189216892;28.85767582757704
2019-07-31;100;2.0;20319343;37226403.714;9084528;179676;0.8842608739859354;15262.978152521526;24.40345317746478
2019-08-31;101;2.0;23778297;44846774.669;10744725;228951;0.9628570120055276;18387.36148790488;23.95874637430105
2019-09-30;102;2.0;26610800;52658784.438999996;11568690;414533;1.5577622619387617;21590.31752316523;21.969155048387385
2019-10-31;103;2.0;27142347;54344915.242;13154916;295422;1.0884172986219651;22281.638065600655;24.206341920712642
2019-11-30;104;2.0;25207035;48212608.51100001;9977196;391522;1.5532251214789838;19767.367163181636;20.694163431799463
2019-12-31;105;2.0;23517946;44295436.75;8028231;297713;1.265897115334817;18161.310680606806;18.124284551726426
2020-01-31;106;2.0;21248312;40669026.875;6501538;273835;1.2887376653731364;16674.467763427634;15.986460703825237
2020-02-29;107;2.0;19842779;38634919.114999995;5437632;181828;0.9163434214532149;15840.475241902417;14.074397266924368
2020-04-30;108;2.0;18442887;33912547.409;5856865;179545;0.9735189506935655;13904.283480524806;17.270495576058245
2020-05-31;109;2.0;17141484;35292057.599;7358072;216484;1.2629244935852695;14469.888314473144;20.849087586801655
2020-06-30;110;2.0;18248433;35046212.573;7400802;237555;1.3017830078889514;14369.090845838458;21.11726619412696
2020-07-31;111;2.0;17408406;37459824.082;8384936;107674;0.6185172841212458;15358.681460434605;22.383810403501293
2020-09-30;112;2.0;24967776;47975660.887;10625065;277271;1.1105154099427998;19670.21766584666;22.146781938087027
2020-10-31;113;2.0;27453251;51637452.738;12879505;346539;1.2622876613046665;21171.567338253382;24.942177270727324
2020-11-30;114;2.0;28459998;50112947.606;10774423;320377;1.125709847203784;20546.513983599834;21.500277901653472
2020-12-31;115;2.0;26589719;45225245.269;10197604;252268;0.9487426324437652;18542.535985649858;22.548476938808395
2021-01-31;116;2.0;25359943;45019864.241;7625697;189772;0.7483139847751236;18458.32892209922;16.938516205153746
2021-02-28;117;2.0;24122907;41845503.606000006;4617650;161350;0.6688663186406182;17156.82804674047;11.034996838556149
2021-03-31;118;2.0;23962330;40081193.445;5997535;256645;1.0710352457377892;16433.45364698647;14.963464119974134
2021-04-30;119;2.0;23017334;41217535.589;7952246;297251;1.291422368898153;16899.35858507585;19.293356301783042
2021-05-31;120;2.0;21705723;41401149.745000005;8668995;295877;1.36312897755122;16974.64114186142;20.93901993880484
2021-07-31;121;2.0;23172711;50069815.907000005;10105450;321471;1.3872826532898979;20528.829810168103;20.182718504038295
2021-08-31;122;2.0;26372994;56376309.344000004;11797610;480922;1.8235396405883988;23114.517976219762;20.926538358537638
2021-09-30;123;2.0;28126143;60715009.546000004;13529594;543337;1.9317863810903613;24893.40284788848;22.28377151081474
2021-10-31;124;2.0;27986164;62394268.830000006;13762301;667208;2.384063782374748;25581.906039360398;22.05699539086978
2021-11-30;125;2.0;27226625;61398526.176;12510949;320000;1.1753201140427798;25173.647468634685;20.37662754988147
2021-12-31;126;2.0;25218785;54478451.616;9742348;358337;1.4209130217811843;22336.388526445262;17.882938503227816
2022-01-31;127;2.0;22477356;46928541.552;6627842;358466;1.5947872160764816;19240.894445264454;14.12326439477328
2022-02-28;128;2.0;20124113;40785409.675;5587526;416603;2.0701682603352505;16722.185188601885;13.699815803063894
2022-03-31;129;2.0;18967049;34457406.538;5702845;389852;2.055417266017502;14127.677957359574;16.55041853980171
2022-04-30;130;2.0;19231291;34807544.475;5734350;201908;1.0498931143000227;14271.235947109471;16.474445659671886
2022-05-31;131;2.0;20147873;38315320.251;7823566;167433;0.8310207236267569;15709.438397293974;20.41889758130316
2022-06-30;132;2.0;22563683;43449466.335999995;9094707;274175;1.215116344259933;17814.45934235342;20.931688618841775
2022-07-31;133;2.0;21045148;44569507.58;9659735;468533;2.226323141086962;18273.680844608447;21.673416477983892
